言为心声 言语是思想的反映，从一个人的话里可以知道他的思想感情。
炫石为玉 炫夸耀。拿玉吸引人，卖出的却是石头。比喻说的和做的不相符合。
坐卧不安 坐着躺着都不安宁。形容因忧愁恐惧而不安的样子。
食不甘味 甘味感到味道好。吃东西都觉得没有味道。形容心里有事，吃东西也不香。
良莠不一 莠狗尾草，很象谷子，常混在禾苗中。比喻好人坏人都有，混杂在一起。难以区分。同良莠不齐”。
德高望重 德品德；望声望。道德高尚，名望很大。
有无相通 互通有无，互相接济。
离山调虎 比喻用计谋调动对方离开原地。
神来之笔 由神灵帮助而写出的作品。形容作品文句精彩。
金人之箴 比喻因有顾虑而闭口不说话。
不胜其烦 胜禁得起；烦烦琐。烦琐得使人受不了。
不知纪极 纪极终极，限度。原形容贪得无厌。亦表示极多。
谬以千里 指错误荒谬到了极点。
参差不一 形容不整齐或不一致。同参差不齐”。
不可企及 企希望；及达到。没有希望达到。形容远远赶不上。
龙举云兴 比喻王者兴起则必遇贤臣良将。同龙兴云属”。
高傲自大 自以为了不起，极其骄傲，看不起别人。
扫地无遗 指彻底干净，毫无存留。同扫地无余”。
八万四千 本为佛教表示事物众多的数字，后用以形容极多。
时不我与 我与与我”的倒装；与等待。时间不会等待我们的。嗟叹时机错过，追悔不及。
为山止篑 比喻功败垂成。
衣食住行 泛指穿衣、吃饭、住房、行路等生活上的基本需要。
倾巢而出 倾倒出；巢巢穴。比喻敌人出动全部兵力进行侵扰。
一丝不紊 一点儿也不乱。形容极有条理。
风旋电掣 掣闪过；旋奔跑。你风一样飞驰而过，像闪电一样一角即逝。形容非常迅速。
一马当先 原指作战时策马冲锋在前。形容领先。也比喻工作走在群众前面，积极带头。
足不窥户 不出大门一步。指闭门自守。
同然一辞 犹异口同声。指大家说得都一样。
调虎离山 设法使老虎离开原来的山冈。比喻用计使对方离开原来的地方，以便乘机行事。
寸步不离 寸步形容距离很近。原指夫妻和睦，一步也不离开。现在泛指两人感情好，总在一起。
惊天动地 惊惊动；动震撼。使天地惊动。形容某个事件的声势或意义极大。
动地惊天 惊惊动；动震撼。使天地惊动。形容某个事件的声势或意义极大。
容膝之地 形容居室的狭窄。
深中笃行 指内心廉正，行为淳厚。
威风祥麟 麒麟和凤凰，古代传说是吉祥的禽兽，只有在太平盛世才能见到◇比喻非常难得的人才。
充耳不闻 充塞住。塞住耳朵不听。形容有意不听别人的意见。
卓然不群 指超出常人。
玉石相揉 比喻好坏混杂。
过目成诵 成诵能背诵。看过一遍就能背下来。形容记忆力强。
耳食之论 形容听来的没有确凿根据的言论。同耳食之谈”、耳食之言”。
人情之常 通常情况下人们共有的情理或态度。
深信不疑 非常相信，没有一点怀疑。
金人缄口 金人铜制的人。缄口封嘴，指缄默不言。铜人闭口不讲话。形容言词谨慎。亦作金人三缄”。
政令不一 发出的命令不统一。形容军务或政务混乱。
轻言寡信 指说话轻率而缺少信用。
命世之才 原指顺应天命而降世的人才◇多指名望才能为世人所重的杰出人才。亦作命世之英”、命世之雄”。
人之常情 一般人通常有的感情。
言近指远 话很浅近，含义却很深远。同言近旨远”。
安分知足 安于本分，对自己所得到的待遇知道满足。
不可造次 造次急遽，匆忙。不能匆匆忙忙地进行。意为要慎重。
日转千街 指乞丐沿街行乞。
朝生暮死 ①早晨刚生，晚上就死亡。②今亦形容事物生命短暂。
神眉鬼道 形容花样多，有些神秘莫测。
竹马之交 竹马小孩当马骑的竹竿。童年时代就要好的朋友。
莫知所为 不知道怎幺办好，形容激动得不知怎幺办。亦作莫知所谓”。
自相残害 残伤害。自己人互相杀害。
不可救药 药治疗。病已重到无法用药医治的程度。比喻已经到了无法挽救的地步。
马角乌头 乌鸦变白，马头生角。比喻不能实现之事。
一语中人 中中伤。以一句话中伤人。
风韵犹存 形容中年妇女仍然保留着优美的风姿。
任其自然 任听任；其代词，他，它。听任人或事物自然发展。
翻天作地 犹言翻天覆地。形容闹得很凶。
乌头马角 比喻不能实现之事。同乌白马角”。
借水行舟 指趁势行事。同借水推船”。
一孔之见 从一个小窟窿里所看到的。比喻狭隘片面的见解。
系风捕景 ①比喻不可能做到的事。②比喻不露形迹。亦作系风捕影”。
弱不胜衣 胜禁得起。形容人很瘦弱，连衣服都承受不起。
大有可为 事情有发展前途，很值得做。
无动为大 以不变动为至善。无为而治”的一种政治主张。
出神入化 神、化指神妙的境域。极其高超的境界。形容文学艺术达到极高的成就。
鸡犬不惊 形容行军纪律严明，连鸡狗都没有受到惊动。也指平安无事。
三生有幸 三生佛家指前生、今生、来生；幸幸运。三世都很幸运。比喻非常幸运。
确然不群 指坚守志操，不同流俗。
悍然不顾 捍然凶残蛮横的样子。凶暴蛮横，不顾一切。
见义必为 指看到正义的事情就去做。
直言取祸 直坦率、直爽；取取得，引申为招致。指说话直率的人会惹祸。
巧不可阶 阶台阶，引伸为赶上。指巧妙得别人无法赶上。
海水难量 海水是不可以去量的。比喻不可根据某人的现状就低估他的未来。
生老病死 佛教指人的四苦，即出生、衰老、生病、死亡。今泛指生活中生育、养老、医疗、殡葬。
食不兼味 吃饭不用两道菜肴。指饮食节俭。同食不二味”。
一家无二 指一家之人没有两样。
人急计生 在紧急情况下突然想出了好主意。
罪不可逭 罪责不可逃避。
不识局面 犹不识时务。
高山仰止 高山比喻高尚的品德。比喻对高尚的品德的仰慕。
反目成仇 反目翻脸了。翻脸而变成仇敌。一般指夫妻不和，矛盾激化，互相对立。
独得之见 与众不同的创造性的见解。
人极计生 指人到绝境就会产生计谋。
一潭死水 潭深水坑。一池子死水。比喻停滞不前的沉闷局面。
刍荛之言 刍荛割草打柴的人。割草打柴人的话。指普遍百姓的浅陋言辞。也用作讲话者的谦词。
一语道破 道说；破揭穿。一句话就说穿了。
无根而固 固牢固。没有根柢却能牢固。比喻有共同的思想感情作基础。
誓死不屈 立誓宁死也不屈服。
岿然不动 岿然高峻独立的样子。象高山一样挺立着一动不动。形容高大坚固，不能动摇。
放虎归山 把老虎放回山去。比喻把坏人放回老巢，留下祸根。
爱不释手 释放下。喜爱得舍不得放手。
不问皂白 比喻不分是非，不问情由。
不腆之仪 腆丰厚；仪礼物。不丰厚的礼物。旧时送礼的谦辞。
文不对题 文章里的意思跟题目对不上。指人说话或写文章不能针对主题。
见溺不救 犹言见死不救。看见人家有急难而不去救援。
人山人海 人群如山似海。形容人聚集得非常多。
身不由主 身体不由自己作主。
井渫不食 指井虽浚治，洁净清澈，但不被饮用。比喻洁身自持，而不为人所知。
宁死不屈 宁愿死也不屈服。
鼎足而居 像鼎的三足分立那样。比喻三方面对立的局势。
蛟龙得水 传说蛟龙得水后就能兴云作雨飞腾升天。比喻有才能的人获得施展的机会。也比喻摆脱困境。
南山可移 南山终南山。比喻已经定案，不可更改。
手下留情 下手的时候留点情面。比喻处理事情不要太苛刻。
水剩山残 多指亡国或经过变乱后国土分裂、山河残破的景象。
未知万一 万分之一都不知道。形容学识肤浅。
才气过人 才才能；气气魄。才能气魄胜过一般的人。
不同凡响 凡响平凡的音乐。形容事物不平凡，很出色。
风鬟雾鬓 鬟环形发髻；鬓脸旁靠近耳朵的头发。形容女子头发的美。也形容女子头发蓬松散乱。
雾鬓风鬟 鬓脸旁靠近耳朵的头发；鬟环形发髻。形容女子头发的美。也形容女子头发蓬松散乱。
一衣带水 一条衣带那样狭窄的水。指虽有江河湖海相隔，但距离不远，不足以成为交往的阻碍。
读不舍手 舍舍得，愿意。读书读到有兴趣时舍不得放下。
穷天极地 比喻极边远之处。
无天无日 犹言不见天日。比喻社会黑暗，见不到一点光明。
赔身下气 谦躬屈节，低声下气。
流言混话 无根据无道理的言语。
日久年深 指日子长，时间久。
鼎分三足 比喻三方分立，互相抗衡。同鼎足三分”。
低三下四 形容态度卑贱低下也指工作性质卑贱低下。
残山剩水 指国家领土大都沦陷后残余的部分。也比喻未被消除而剩下来的事物。
山崩水竭 山岳崩塌，河川干枯。古代认为是重大事变或其征兆。同山崩川竭”。
门生故旧 指学生和旧友。
年深日久 形容时间久远。
旧地重游 重新来到曾经居住过或游览过的地方。
鼎足三分 鼎古代炊具，三足两耳。比喻三方分立，互相抗衡。
三分鼎足 鼎古代炊具，三足两耳。比喻三方分立，互相抗衡。
先入之见 指在对某事物进行调查研究之前就形成或接受的看法。指成见。
杜绝言路 杜绝断绝，阻塞；言路进言之路。堵塞和断绝一切进言之路，指不纳谏言。
一跌不振 比喻遭受一次挫折以后就再也振作不起来。同一蹶不振”。
不差毫发 毫、发都是古代的长度名，十毫为发，十发为厘，形容细微。形容一点儿也不差。
安若泰山 形容极其平安稳固。同安如泰山”。
风姿绰约 风风度；绰约女子姿态柔美。形容女子风韵姿态柔美动人。
超然自得 超脱世事，自觉快乐和满足。
官止神行 指对某一事物有透彻的了解。
众口如一 许多人都说同样的话，看法或意见一致。同众口一辞”。
坐食山空 指光是消费而不从事生产，即使财产堆积如山，也会吃光用尽。
不落俗套 不因袭陈旧的格式。
不知痛痒 是痛是痒都不知道。比喻不体贴，不关心。
矜功不立 矜自夸。自以为能立大功而大功必不成。
怒不可遏 遏止。愤怒地难以抑制。形容十分愤怒。
轻言轻语 形容说话声音极轻微。
剩水残山 残破的山河。多形容亡国后的或经过变乱后的土地景物。也比喻未被消除而剩下来的事物。
剩山残水 残破的山河。多形容亡国后的或经过变乱后的土地景物。也比喻未被消除而剩下来的事物。
风度翩翩 风度风采气度，指美好的举止姿态；翩翩文雅的样子。举止文雅优美。
言必有物 指言论或文章内容充实。
不可逾越 逾越过。不可能超过或不可能越过。
声色犬马 声歌舞；色女色；犬养狗；马骑马。形容剥削阶级荒淫无耻的生活方式。
成家立计 犹言成家立业。
十生九死 形容历尽艰险。
重足一迹 叠足而立，不敢迈步。形容非常恐惧。
好言好语 好美好，友善。指友善和中听的言语。
礼无不答 礼礼数。一方以礼相待，另一方不能不以礼相报。亦指不受他人之礼，必以报答。
翩翩风度 翩翩形容举止潇洒超脱。风度美好的举止姿态。形容人的举止言谈超逸洒脱。
重于泰山 比泰山还要重。形容意义重大。
占风使帆 比喻随机应变，看风头办事。
无坚不陷 形容力量非常强大，没有什么坚固的东西不能摧毁。同无坚不摧”。
无家可归 没有家可回。指流离失所。
情见于色 真情从脸色中表现出来。
砥行立名 磨砺德行，建树功名。
贪而无信 贪婪而又不守信用。
顺时而动 顺应时势而行动。
自食其果 指自己做了坏事，自己受到损害或惩罚。
迅雷风烈 犹言迅雷烈风。
平地起家 比喻原来没有基础而建立了一番事业。
计日可期 可以数着日子等待。形容为时不远。同计日而待”。
日异月更 日日不同，月月改变。形容变化快。
言从计纳 讲的话、出的主意，都听从采纳。
一偏之见 偏于一面的见解。
何所不有 用反问的语气表示无所不有。
迥然不群 迥然相距很远或差别很大的样子；不群与众不同，不同于流俗。形容超群出众，身手不凡。
水中捞月 到水中去捞月亮。比喻去做根本做不到的事情，只能白费力气。
媒妁之言 媒妁说合婚姻的人。媒人的介绍。
趁风使柁 犹看风使舵。比喻随机应变或迎合别人行事。
一脉同气 指出于同源。指同胞兄弟姐妹的亲密关系。
不避汤火 指不畏凶险。
两虎相争 两只老虎相互争斗。比喻力量强大的双方相搏斗。
道同义合 犹言道合志同。
寸步难行 连一步都难以进行。形容走路困难。也比喻处境艰难。
不可奈何 犹无可奈何。表示没有办法。
以锥刺地 用锥子刺地来测量地的深浅。比喻见识浅陋，所知甚少。
有气无力 形容说话声音微弱，作事精神不振。也形容体弱无力。
人生朝露 形容人生短暂。
一蛇两头 比喻阴险凶恶的人。
不拘一格 拘限制；格规格，方式。不局限于一种规格或一个格局。
日积月聚 指长时间不断地积累。同日积月累”。
习以为常 习习惯。指某种事情经常去做，或某种现象经常看到，也就觉得很平常了。
谈天论地 谈论天文地理。形容博学多识。
断雨残云 比喻男女恩爱中绝，欢情未能持续。
狗彘不若 彘猪。连猪狗都不如。形容品行卑劣到连猪狗都不如的程度。
大人先生 旧时指有身分有地位的人。有时带讽刺意味。
币重言甘 币指礼物；厚重。礼物丰厚，言辞好听。指为了能达到某种目的而用财物诱惑。
千秋万古 犹言千秋万代，形容岁月长久。
有所作为 可以做事情，并能取得较大的成绩。
人情世故 为人处世的道理。
釜中生鱼 比喻生活困难，断炊已久。
发言盈庭 盈满。形容好多人聚在一起议论，意见纷纷，得不出一致的结论。
万古千秋 形容延续的时间极久。
不可限量 限量限定止境、数量。形容前程远大。
何所不至 ①用反问的语气表示无所不至。指没有达不到的地方。②指什么坏事都干。
握手言欢 握手谈笑。多形容发生不和，以后又和好。
在所不惜 决不吝惜（多用在付出大的代价）。
十口相传 许多人辗转相传。
理不胜辞 道理不能胜过文辞。指由于不善于推理立论，尽管文辞丰富多彩，道理并不充分。
三年之艾 病久了才去寻找治这种病的干艾叶。比喻凡事要平时准备，事到临头再想办法就来不及。
皮相之谈 皮相从表面上看。没有说到点子上的肤浅看法。
有言在先 有话说在头里。指事先打了招呼。
相反相成 两个看起来是相反的事物，实际上是互相依赖，互相促进的。指相反的东西有同一性。
地上天宫 形容生活环境的美好，犹如在天宫一样。
攻无不克 克攻下。没有攻占不下来的。形容力量无比强大。
一知半见 指不成熟的一点见解。
闻所不闻 听到从未听到过的。形容事物非常媳。
来情去意 事情的内容和原因。
一隅之见 见见解。偏于一方面的见解。
自视甚高 把自己看得很高（多指身分，学识等）。
不可偏废 偏废侧重一方，忽略另一方。指两方面都应同样重视，不能片面地强调一个方面，而忽视另一个方面。
引以为憾 以此事为遗憾。
出神入定 形容聚精会神。
霸道横行 犹言横行霸道。指依仗权势为非作歹。
一掷百万 指用钱满不在乎，一花就是一大笔。
风尘碌碌 碌碌辛苦忙碌的样子。形容在旅途上辛苦忙碌的样子。
风尘仆仆 风尘指行旅，含有辛苦之意；仆仆行路劳累的样子。形容旅途奔波，忙碌劳累。
仆仆风尘 仆仆行路劳累的样子；风尘指行旅，含有辛苦之意。形容奔波忙碌，旅途劳累。
老天拔地 形容老年人动作不灵活。
不置可否 置放，立；可行；否不行。不说行，也不说不行。指不表明态度。
不识时务 时务当前的形势和潮流。指不认识当前重要的事态和时代的潮流。现也指待人接物不知趣。
横行霸道 横行行动蛮横仗势做坏事；霸道蛮不讲理。依仗权势为非作歹。
比年不登 比屡屡；频频。农业连年歉收。亦作比岁不登”。
神安气集 精神安定，气息凝集。
过而能改 有了错误就能改正。
金无足赤 足赤成色十足的金子。比喻人也不能十全十美。
叩马而谏 勒住马头进行规劝。形容竭力进行劝谏。
人一己百 别人一次就做好或学会的，自己做一百次，学一百次。比喻以百倍的努力赶上别人。
开口见胆 说话直爽，没有隐曲。同开口见心”。
移山回海 移动山岳，旋转大海。比喻竭尽全力，克服巨大困难。
以紫为朱 比喻将奸邪小人当作廉洁公正的贤者。同以紫乱朱”。
金兰之交 像金石般坚固的交情。
楚天云雨 指巫山神女，或男女欢情。
故作高深 本来并不高深，故意装出高深的样子。多指文章故意用些艰深词语，掩饰内容的浅薄。
鸡犬不闻 形容极为荒凉冷僻。
不可摸捉 摸捉揣测，预料。指对人或事物无法猜测和估量。
不可捉摸 捉摸揣测，预料。指对人或事物无法猜测和估量。
点金成铁 用以比喻把好文章改坏。也比喻把好事办坏。
不识不知 没有多少知识。旧喻民风淳朴。
死里逃生 从极危险的境地中逃脱，幸免于死。
蹀躞不下 指心里忐忑不安，不能放心。
勇而无谋 谋计谋。虽然勇敢，但没有智谋。
一举万里 比喻前程远大。同一举千里”。
千岁一时 犹千载一时。一千年才有这么一个时机。形容机会极其难得。
远不间亲 间离间。关系疏远者不参与关系亲近者的事。
一日九迁 九形容多次；迁升职。一日之内多次升迁。比喻官职升得极快。
力学不倦 力学努力学习。倦疲倦。勤勉学习而不知疲倦。
一佛出世 犹一佛出世，二佛生天。
千里之任 指远行千里的重任◇亦比喻重任。
壶中天地 指道家的生活。
不敢苟同 苟苟且。不敢随便地同意。指对人对事抱慎重态度。
肉山酒海 极言酒肉饮食之丰。
黄人守日 用以比喻朝政清明，国力强盛。
摸门不着 指莫名其妙。
无幽不烛 黝暗处无不被照亮。比喻明察隐微。
流血千里 形容死伤非常多。
事在必行 事情非做不可。
日角龙庭 旧时相术家指天庭隆起为龙庭。称之为帝王的贵相。
浮云蔽日 浮云遮住太阳。原比喻奸佞之徒蒙蔽君主◇泛指小人当道，社会一片黑暗。
百年好事 指婚姻喜事。
才高意广 才学高的人，抱着奢望，难以成事。
察言观色 察详审。观察别人的说话或脸色。多指揣摸别人的心意。
寻事生非 形容有意制造事端，引起纠纷。
日月如梭 梭织布时牵引纬线的工具。太阳和月亮象穿梭一样地来去。形容时间过得很快。
以誉为赏 根据人们的称誉给以奖赏。
触类而长 意指掌握一类事物知识或规律，就能据此而增长同类事物知识。
食不充饥 犹言食不果腹。指吃不饱肚子。形容生活贫困。
寡不敌众 寡少；敌抵挡；众多。人少的抵挡不住人多的。
一时之权 暂时的权宜。
舍身为国 为国家牺牲自己的生命。
众寡不敌 众多；寡少；敌抵挡。少数敌不过多数。
薄唇轻言 形容多嘴，说话随便。
饥不择食 择挑拣。不管什么都吃。比喻需要急迫，顾不得选择。
以身作则 则准则，榜样。以自己的行动做出榜样。
点铁成金 原指用手指一点使铁变成金的法术。比喻修改文章时稍稍改动原来的文字，就使它变得很出色。
死不旋踵 旋踵旋转足跟，即后退。比喻不畏艰险，坚决向前。亦比喻极短时间内即死去。
言无伦次 语言杂乱无章。
以文乱法 文指儒家的经典。引用儒家的经典，非议国家法令。
风尘肮脏 在污浊的人世间挣扎。风尘指污浊，纷扰的生活。肮脏高亢刚直的样子，引申为强项挣扎的意思。
不可救疗 病已重到无法治疗的程度。比喻已经到了无法挽救的地步。
遍地开花 比喻好的事物到处涌现或普遍发展。
一室生春 整个房间里充满了愉快欢乐的气氛。
不可乡迩 不可接近。同不可向迩”。
魂飞目断 形容十分心向往之，不能自持。
退食自公 减膳以示节俭。指操守廉洁。
身无长处 除一身之外再没有多余的东西。原指生活俭朴。现形容贫穷。
谭言微中 说话隐微曲折而切中事理。
及时行乐 不失时机，寻欢作乐。
下气怡色 形容气色和悦，态度恭顺。同下气怡声”。
两相情原 指双方互相愿意。
夺眶而出 眶眼眶。眼泪一下子从眼眶中涌出。形容人因极度悲伤或极度欢喜而落泪。
史不绝书 书指记载。史书上不断有记载。过去经常发生这样的事情。
高人一筹 高人比一般人高；筹筹码。比一般人高出一个筹码。指胜过别人。
当断不断 指应该决断的时候不能决断。
各自为战 各自成为独立的单位进行战斗。
不识起倒 指不知好歹；不识时务。
语短情长 语言简短，情意深长。
知命之年 知道自己命运的年龄。指50岁。
达地知根 指根底清楚、明白。
深山穷林 与山外、林外距离远的、人急至的山岭、森林。
得人死力 死力以死效力。得到别人以死来效力。形容非常得人拥护。
率以为常 指成为经常的事。
一哄而起 没有经过认真准备和严密组织，一下子行动起来。
移山拔海 移动大山，拔起大海。形容力量巨大。
本来面目 原为佛家语，指人的本性◇多比喻事物原来的模样。
千虑一得 即使愚笨的人，在很多次考虑中也总会有些可取的地方。多用来表示自谦。
独行其是 是对的。不考虑别人的意见，只照自己认为对的去做。
行古志今 按古道行事，为当今服务。指时异势迁，不可食而不化。
无施不效 指施行的每项策略都收效。
五花杀马 毛色凋落的马。比喻年老体衰。
一蹶不振 蹶栽跟头；振振作。一跌倒就再也爬不起来。比喻遭受一次挫折以后就再也振作不起来。
三谏之义 指事君之正道。
无孔不钻 比喻善于钻营。
半新不旧 犹言半新半旧。
知地知天 地地形天天气。了解地形，了解气候。
玉石同沉 比喻善恶一齐受害。
百巧成穷 指有多种才能的人反而贫困不堪。同百巧千穷”。
梦笔生花 比喻写作能力大有进步。也形容文章写得很出色。
言听计用 形容对某人十分信任。同言听计从”。
鼎成龙去 指帝王去世。
无方之民 古指不知礼法的人。
一面之雅 只见过一面的交情。比喻交情很浅。同一面之交”。
如虎生翼 比喻因增加新助力，强者愈强，恶者愈恶。同如虎傅翼”。
不因人热 因依靠『时梁鸿不趁他人热灶烧火煮饭。比喻为人孤僻高傲。也比喻不依赖别人。
不可教训 教训教育，教诲。对某人无法进行教育。
大节不夺 大节临难不苟的节操；夺丧失。指面临生死关头，仍不改变其原来志向。
神完气足 精神饱满，气息充足。
钓游之地 童年生活的地方，一般指故乡。
天知地知 天知道，地知道。指人人都知道。亦指只有天知道，地知道，没有别人知道。
龙断之登 指谋利求财。龙，通垄”。
深山穷谷 与山外距离远、人急至的山岭、山谷。
起死回生 把快要死的人救活。形容医术高明。也比喻把已经没有希望的事物挽救过来。
日异月殊 每天每月都有差异。形容变化大。
一无所闻 一点也没有听说，丝毫也不知道。
一败涂地 形容失败到了不可收拾的地步。
以水投水 把一条河里的水倒到另一条河里。比喻事物相似，很难辨别。
马前泼水 比喻夫妻离异，无法挽回。
多文为富 以多学知识、技能为富有。
不当不正 不语助词，没有实际意思。表示端端正正。
邪不胜正 犹言邪不犯正。指邪妖之法不能压倒刚正之气。
乘其不备 乘趁。利用别人没有防备的时机，去侵害对方。
回生起死 起死回生。形容医道高明，能把垂死的人求活。也用以形容挽回了看来没有希望的事物。
不可向迩 迩近。不可接近。
相因相生 互相承袭，互相促进。
深山老林 与山外、林外距离远的、人急至的山岭、森林。
万古长青 万古千秋万代。千秋万代都象松柏一样永远苍翠。比喻崇高的精神或深厚的友谊永远不会消失。
言犹在耳 犹还。说的话还在耳边。比喻说的话还清楚地记得。
物以群分 同类的东西聚在一起。指坏人彼此臭味相投，勾结在一起。同物以类聚”。
溯水行舟 指逆水行船。
观机而作 等待时机然后行动。同观机而动”。
名山大川 泛指有名的高山和源远流长的大河。
一败如水 形容军队打了大败仗，象水泼到地上那样不可收拾。
一介不苟 形容廉洁、守法，不是自己应该得到的一点都不要。同一介不取”。
枕山负海 靠山依海。同枕山襟海”。
毫发不爽 毫细毛；发头发；爽差错。形容一点不差。
在人耳目 表示为人们所听到看到，都已熟知。
因人成事 因依靠。依靠别人的力量办成事情。
中庸之道 指不偏不倚，折中调和的处世态度。
不可端倪 端倪头绪。找不着头绪。形容变化莫测。
如无其事 象没有那回事一样。形容遇事沉着镇定或不把事情放在心上。
一蹴而就 蹴踏；就成功。踏一步就成功。比喻事情轻而易举，一下子就成功。
举措不当 举措举动，措置。指行动措施不得当。
同恶相党 共为恶者相结为党。
目指气使 目指动一下眼睛来指物；气使用嘘气声支使人。用眼神和气色指使人。形容骄横傲慢的样子。
死声活气 阴阳怪气的声音。
泣数行下 眼泪接连不断的往下掉。形容非常悲伤。
见怪不怪 看到怪异的现象不要大惊小怪。指遇到不常见的事物或意外情况，要沉着镇静。
一呵而就 一口气完成。
因人而异 因人的不同而有所差异。
会家不忙 行家对自己熟悉的事，应付裕如，不会慌乱。同会者不忙”。
见义勇为 看到正义的事，就勇敢地去做。
金舌弊口 金舌用金子做舌头；弊破。用金做的舌头，说破了嘴。比喻说话很多，枉费口舌。
不辞劳苦 辞推托；劳苦劳累辛苦。不逃避劳累辛苦。形容人不怕吃苦，毅力强。
成名成家 树立名声，成为专家。
通家之好 指两家交情深厚，象一家人一样。
气味相投 气味比喻性格和志趣；投投合。指人思想作风相同，彼此很合得来。
不爽毫发 没有一点差错。
血流成河 形容被杀的人极多。
论世知人 犹言知人论世。指了解一个人并研究他所处的时代。亦泛指鉴别人物，评论世事。
头晕眼花 头发昏，眼发花。
神头鬼脸 ①形容不愉快的脸色。②喻蓬头乱发，不加修饰。
无名之璞 指未出名的璞玉。比喻不为人知的才识之士。同无名之朴”。
不忘故旧 故旧旧交、旧友。不忘记老朋友。
滴水成河 比喻积少成多。
无所重轻 没有什么重要。
情急智生 情况紧急时，突然想出应变的好办法。
进退为难 比喻事情无法决定，因而难以行动。同进退两难”。
走为上计 遇到强敌或陷于困境时，以离开回避为最好的策略。
知人论世 原指了解一个人并研究他所处的时代背景。现也指鉴别人物的好坏，议论世事的得失。
楚水吴山 楚地的水，吴地的山。指古时吴、楚两国所属地域◇用以指长江中下游一带。
易子而教 易交换。交换孩子进行教育。
径情直行 随着意愿，顺利地得到成功。
一时之秀 一个时期的优秀人物。亦作一时之选”。
通天达地 犹言顶天立地。形容形象高大，气慨豪迈。
重逆无道 大逆不道，行事不循理。
一无所求 指没有什么要求或需要。
饥不暇食 肚子饿了也没空吃饭。形容全神贯注地忙于事务。
祸从口出 灾祸从口里产生出来。指说话不谨慎容易惹祸。
直情径行 径直；行从事。凭着自己的意思径直地去做。比喻想怎么干就怎么干。
百年之业 百年的事业。指长远的事业。
散言碎语 犹言闲言碎语。唠叨些与正事无关的话。
后生可畏 后生年轻人，后辈；畏敬畏。年轻人是可敬畏的。形容青年人能超过前辈。
千灾百难 指多灾多难。
眉目传情 用眼色传递情意。多用于男女之间。
兵不由将 比喻下级不服从上级的指挥。
狗吠不惊 吠狗叫声。狗偶尔的叫声不会引起惊慌。形容社会太平安定。
泥古不化 泥拘泥，固执。拘泥于古代的成规或古人的说法而不知变通。
以身报国 把身体献给国家。指宁愿为国家的安危奉献自己的生命。
钻天入地 形容神通广大，很有办法。
同恶相助 指对共同憎恶者，必相互援助以对付之。亦作同恶相恤”。
知人下士 知识别。下士屈己尊人。能识别人才并礼贤下士。
人生如梦 人生如同一场梦。形容世事无定，人生短促。
积金累玉 金玉堆积。形容财富很多。
登山涉水 爬山过水。比喻历尽艰难。
看风驶船 指随机应变，见机行事。
同类相求 指物之同类者互相聚合。
裘马声色 衣轻裘，乘肥马，醉心歌舞，迷恋女色。谓贪图享受，生活糜烂。
千载一时 一千年才有这么一个时机。形容机会极其难得。
入文出武 称人兼备文武之才，入朝为文臣，出朝为将帅。
阖门百口 指全家所有人。
甘言美语 甜美动听的话。
多言多语 指不该说而说。
出人意表 表外。出乎人们意料之外。
龙生九种 比喻同胞兄弟品质、爱好各不相同。同龙生九子”。
移天易日 易更换。比喻野心家篡夺政权。
百二山川 比喻山河险固之地。同百二山河”。
一时千载 一千年才遇到一次。极言机会难得。
焦金流石 将金属、石头烧焦、熔化。形容天气极度干旱、炎热。
出有入无 出入于有无之中。
功成身退 身自身，自己。指大功告成之后，自行隐退，不再复出。
誓不两立 誓发誓。发誓不与敌人并存。指双方仇恨极深，不能同时存在。
依山傍水 指地理位置靠近山岭和水流。
巧言令色 巧言花言巧语；令色讨好的表情。形容花言巧语，虚伪讨好。
侧足而立 形容有所畏惧，不敢正立。
一叶迷山 意指一叶蔽目，不见泰山。
冰天雪地 形容冰雪漫天盖地。
重气轻命 指看重义行而轻视生命。
身退功成 指功业成就，退隐家园。
东道之谊 东道主人。谊情谊。指主人的情谊。
高飞远举 举飞、去。飞得又高又远。比喻前程广大。
长年累月 长年整年；累月很多个月。形容经过了很多年月。
文弱书生 文弱文雅而体弱。举目文雅，身体柔弱的读书人。
卧不安席 睡不安宁。形容心事、忧虑重重。
出文入武 指文武兼备。
久而久之 经过了相当长的时间。
清静无为 道家语。春秋时期道家的一种哲学思想和治术。指一切听其自然，人力不必强为。
恬不知怪 指安然处之，不以为怪。
高识远见 指见识高远。同高见远识”。
倒山倾海 形容声势很大，力量无比。
重气猣名 重视义气，慕求声名。
高见远识 指见识高远。
旷日引月 引迁延。历时长久。同旷日引久”。
必不得已 必然不能得止。指形势使得非如此不可。表示无可奈何的意思。
划地为牢 相传上古时，于地上画圈，令犯罪者立圈中，以示惩罚◇用以指限制在一定范围内。
回山转海 转动山海。比喻力量巨大。
遭家不造 遭遇到；造成。原是周成王居父丧时自哀之辞◇指遭遇家中不幸的事。
竖子成名 指无能者侥幸得以成名。
说地谈天 天上地下，无所不谈。形容话题广泛或巧于言辞。
下笔如神 指写起文章来，文思奔涌，如有神力。形容文思敏捷，善于写文章或文章写得很好。
正言直谏 以正义之语，规劝皇帝、上级、长辈或朋友。
无千无万 指不计其数；极多。
直言正谏 指以正直的言论谏诤。古时多用于臣下对君主。
变动不居 指事物不断变化，没有固定的形态。
